CSMILES,PCE_ave
CCCCCCCCCCCCCCc1cc(C)sc1-c1cc2sc(-c3sc(C)cc3CCCCCCCCCCCCCC)cc2s1$-1.06$0.8$-0.31,2.34
CCCCCCCCC(CCCCCCCC)n1c2cc(C)ccc2c2ccc(-c3ccc(-c4ccc(-c5ccc(C)s5)c5nsnc45)s3)cc21$0.76$0.8$-0.12,3.6
CCCCC(CC)CC1(CC(CC)CCCC)c2cc(C)sc2-c2sc(-c3ccc(C)c4nsnc34)cc21$-0.15$-1.39$-0.3,5.12
CCCCCCCCCCC(CCCCCCCC)Cc1cc(-c2c(F)c(F)c(-c3cc(CC(CCCCCCCC)CCCCCCCCCC)c(-c4ccc(-c5ccc(C)s5)s4)s3)c3nsnc23)sc1C$0.03$-0.32$0.03,10.2
CCCCCCCCCCC(CCCCCCCC)Cc1cc(-c2ccc(-c3cc(CC(CCCCCCCC)CCCCCCCCCC)c(-c4cc(F)c(-c5sc(C)cc5F)s4)s3)c3nsnc23)sc1C$-0.61$-0.42$-0.27,10.0
CCCCCCCCCCC(CCCCCCCC)Cc1cc(-c2c(F)c(F)c(-c3cc(CC(CCCCCCCC)CCCCCCCCCC)c(-c4ccc(-c5ccc(C)s5)s4)s3)c3nsnc23)sc1C$0.03$-0.32$-0.13,9.0
CCCCCCCCCCC(CCCCCCCC)Cc1cc(-c2c(F)c(F)c(-c3cc(CC(CCCCCCCC)CCCCCCCCCC)c(-c4ccc(-c5ccc(C)s5)s4)s3)c3nsnc23)sc1C$0.03$-0.32$-0.43,7.7
CCCCCCCCCCC(CCCCCCCC)Cc1cc(-c2cc3c(cc(-c4cc(C[C@@H](CCCCCCCC)CCCCCCCCCC)c(C)s4)c4nsnc43)c3nsnc23)sc1-c1ccc(-c2ccc(C)s2)s1$-0.42$-0.91$-0.29,9.7
CCCCCCCC(=O)c1sc2c(-c3cc4c(OCC(CC)CCCC)c5sc(C)cc5c(OCC(CC)CCCC)c4s3)sc(C)c2c1F$-0.51$-0.32$-0.16,7.4
CCCCC(CC)C[Si]1(CC(CC)CCCC)c2cc(C)sc2-c2sc(-c3ccc(C)c4nsnc34)cc21$-1.29$-1.3$-0.49,4.7
CCCCCCCCCCCCC(CCCCCCCCCC)Cc1cc(-c2cc3c(cc(-c4cc(CC(CCCCCCCCCC)CCCCCCCCCCCC)c(-c5ccc(C)s5)s4)c4nsnc43)c3nsnc23)sc1-c1ccc(C)s1$-0.88$-0.76$0.26,9.77
CCCCC(CC)Cc1cc(C)sc1-c1nc2sc(-c3sc(-c4cc5c(s4)-c4sc(C)cc4[Si]5(CC(CC)CCCC)CC(CC)CCCC)cc3CC(CC)CCCC)nc2s1$-1.06$0.26$0.3,5.52
CCCCCCCCCCCCC(CCCCCCCCCC)Cc1cc(-c2cc3c(cc(-c4cc(CC(CCCCCCCCCC)CCCCCCCCCCCC)c(-c5ccc(C)s5)s4)c4nonc43)c3nonc23)sc1-c1ccc(C)s1$0.67$-0.95$2.35,8.5
CCCCCCc1cc(C)sc1C$-0.61$1.04$-0.49,4.4
CCCCCCCCCCCCc1cc(C)sc1-c1ccc(-c2ccc(-c3sc(C)cc3CCCCCCCCCCCC)s2)s1$-1.06$1.04$-0.57,1.15
CCCCCCCCCCCCc1cc(C)sc1-c1ccc(-c2ccc(-c3sc(C)cc3CCCCCCCCCCCC)s2)s1$-1.06$1.04$-0.31,0.83
CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F$-0.51$-0.66$0.24,7.64
CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F$-0.51$-0.66$-0.09,7.02
CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F$-0.51$-0.66$1.14,5.9
CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F$-0.51$-0.66$2.05,5.35
CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(OCC(CC)CCCC)c5sc(C)cc5c(OCC(CC)CCCC)c4s3)sc(C)c2c1F$-0.83$0.02$0.05,7.4
CCCCCCCCC(CCCCCC)COc1cc(-c2ccc(-c3ccc(C)c4nsnc34)s2)c(OCC(CCCCCC)CCCCCCCC)cc1-c1ccc(C)s1$-0.2$0.02$-0.34,4.89
CCCCCCCCC(CCCCCC)COc1cc(-c2ccc(-c3c(F)cc(C)c4nsnc34)s2)c(OCC(CCCCCC)CCCCCCCC)cc1-c1ccc(C)s1$0.08$0.02$-0.13,5.02
CCCCCCCCC(CCCCCC)COc1cc(-c2ccc(-c3c(F)c(F)c(C)c4nsnc34)s2)c(OCC(CCCCCC)CCCCCCCC)cc1-c1ccc(C)s1$0.53$0.22$0.21,7.06
CCCCCCCCCCCCC(CCCCCCCCCC)Cn1c2cc(C)ccc2c2ccc(C)cc21$1.21$1.38$-0.1,0.07
C/C=C/c1ccc2c3ccc(C)cc3n(-c3ccc(OCCCCCCCC)cc3)c2c1$1.26$2.85$-0.62,0.4
C/C=C/c1ccc2c3ccc(/C=C/c4ccc(C)s4)cc3n(-c3ccc(OCCCCCCCC)cc3)c2c1$0.85$2.36$-0.6,0.4
C/C=C/c1ccc2c3ccc(/C=C/c4sc(-c5cc(CCCCCCCC)c(C)s5)cc4CCCCCCCC)cc3n(-c3ccc(OCCCCCCCC)cc3)c2c1$0.71$1.87$-0.59,0.3
C/C=C/c1ccc2c3ccc(/C=C/c4sc(-c5ccc(-c6ccc(-c7cc(CCCCCCCC)c(C)s7)s6)s5)cc4CCCCCCCC)cc3n(-c3ccc(OCCCCCCCC)cc3)c2c1$0.3$1.38$-0.59,0.2
C/C=C/c1ccc2c3ccc(/C=C/c4ccc(-c5ccc(C6=C(CCCCCC)C(CCCCCC)=C(c7ccc(-c8ccc(C)s8)s7)S6(=O)=O)s5)s4)cc3n(-c3ccc(OCCCCCCCC)cc3)c2c1$0.76$-0.08$-0.61,0.8
CCCCCCCCC(CCCCCCCC)n1c2cc(C)ccc2c2ccc(-c3ccc(-c4ccc(-c5ccc(C)s5)c5nsnc45)s3)cc21$0.76$0.8$-0.26,6.1
CCCCCCCCC(CCCCCCCC)n1c2cc(C)ccc2c2ccc(-c3ccc(-c4ccc(-c5ccc(C)s5)c5nonc45)s3)cc21$0.57$1.48$-0.55,1.8
CCCCCCCCC(CCCCCCCC)n1c2cc(C)ccc2c2ccc(-c3ccc(-c4cnc(-c5ccc(C)s5)c5nccnc45)s3)cc21$0.85$0.85$-0.51,1.1
CCCCCCCCC(CCCCCCCC)n1c2cc(C)ccc2c2ccc(-c3ccc(-c4cnc(-c5ccc(C)s5)c5nsnc45)s3)cc21$0.89$0.17$-0.6,0.7
CCCCCCCCC(CCCCCCCC)n1c2cc(C)ccc2c2ccc(-c3ccc(-c4ccc(-c5ccc(C)s5)c5nccnc45)s3)cc21$0.62$0.75$-0.28,2.4
CCCCCCCCC(CCCCCCCC)n1c2cc(C)ccc2c2ccc(-c3ccc(-c4cnc(-c5ccc(C)s5)c5nonc45)s3)cc21$0.98$-0.22$-0.6,0.8
