smiles,Eea,Egb,Egc,Ei
*CC(*)C,0.4343,7.6997,6.5196,6.185
*CC(*)F,0.874,8.3099,7.6225,7.6332
*CC(*)(F)F,1.1415,-99.0,7.1498,8.1531
*C(F)C(*)(F)F,1.524,6.8451,7.6787,8.5986
*CCC(F)(F)C(*)(F)F,0.4489,9.1316,8.6882,9.0178
*CO*,0.9897,8.7732,6.6048,7.5826
*CCO*,0.3936,6.2206,5.5372,7.0344
*CC(O*)C(F)(F)F,0.7546,7.4158,6.7566,7.9431
*CCCO*,0.5672,7.4889,6.2459,6.904
*Oc1ccc(Cc2ccc(*)cc2)cc1,1.1795,4.3787,4.9481,6.1428
*CCCCCOCO*,0.5413,6.8354,6.5668,6.9158
*CCOC(=O)NCCOCCOCCNC(=O)O*,0.573,6.4585,6.1403,7.1012
*c1ccc(-c2nc3cc4nc(*)oc4cc3o2)cc1,3.0398,-99.0,2.6504,5.6689
*CCCCCS*,0.5118,4.989,-99.0,5.7733
*Sc1ccc(*)cc1,2.0372,3.1848,3.6211,6.1739
*CCOC(=O)CCCCC(=O)O*,1.0754,6.7769,6.7259,7.8277
*CCOC(=O)CCCCCCC(=O)O*,0.8924,6.8383,6.9025,7.7636
*CCOC(=O)c1ccc(C(=O)O*)cc1,2.2723,3.8637,4.6867,7.1539
*CCCCOC(=O)c1ccc(C(=O)O*)cc1,2.4936,4.0149,-99.0,7.6583
*CC(=O)O*,1.2063,6.5712,7.0895,8.2018
*CCCCCC(=O)O*,0.5062,7.0558,6.6614,7.458
*CCC(=O)O*,0.7562,6.684,7.0337,7.7853
*Oc1ccc(CC(*)=O)cc1,1.5033,4.6878,4.8618,6.3961
*Cc1ccc(C(=O)O*)cc1,2.2574,3.7934,4.9209,7.179
*CCC(=O)N*,1.1904,6.2028,5.6558,6.8452
*CCCCCCC(=O)N*,0.6934,5.9361,6.0436,6.5849
*CC(=O)N*,0.7672,5.7289,6.0823,7.2525
*Nc1cccc(C(*)=O)c1,2.356,3.2399,4.1556,6.1179
*Cc1ccc(C(=O)N*)cc1,1.8315,4.2448,5.0419,6.8713
*CCCCCOC(=O)Nc1ccc(C)c(NC(=O)O*)c1,0.9199,4.5288,5.0895,5.1674
*OC(=O)c1ccc(C(*)=O)cc1,3.2451,3.1295,4.5736,7.8184
*Oc1ccc(OC(*)=O)cc1,1.4499,4.3251,5.1376,6.5915
*CCCN*,0.5296,6.381,5.2088,5.8246
*Oc1ccc(C(=O)c2ccc(*)cc2)cc1,2.4594,3.1383,3.9194,6.383
*c1ccc(*)cc1,2.6013,-99.0,-99.0,5.0935
*CCc1ccc(-c2ccc(*)cc2)cc1,1.482,3.7492,4.2048,5.6867
*OC1C(CO)OC(*)C(O)C1O,0.8344,7.4757,5.8509,6.8689
*Cc1ccc(CO*)cc1,1.6106,4.8019,4.9575,6.5689
*CCOCCOC(=O)O*,0.4954,6.6617,6.7562,7.5966
*CCC(O*)(C(F)(F)F)C(F)(F)F,0.4911,8.3878,7.6175,8.3643
*c1ccc(*)s1,2.9681,-99.0,1.6203,4.5257
*Oc1ccc(-c2ccc(C(*)=O)cc2)cc1,2.4015,3.0847,3.8635,6.2671
*Nc1ccc(*)cc1,0.9827,2.3603,4.0074,4.9916
*c1cccc(*)n1,2.2143,2.9424,3.8339,6.0452
*CC(CC(CC(CC(*)c1ccccc1)c1ccccc1)c1ccccc1)c1ccccc1,1.5606,4.8255,-99.0,3.5577
*c1ccc(-c2ccc(*)s2)s1,2.9681,0.9894,-99.0,4.5257
*c1ccc2oc(-c3ccc4nc(*)oc4c3)nc2c1,3.155,2.5367,-99.0,5.6338
*Cc1ccc(C*)cc1,0.8499,2.5648,-99.0,6.2134
*CCCOC(=O)CCCCCCCCOC(=O)CCCOC(=O)CCCCCCCCOC(*)=O,0.7602,6.5329,-99.0,7.4162
*CC(CC(CC(*)c1ccccn1)c1ccccn1)c1ccccn1,1.1922,4.5101,-99.0,6.2005
*C(=S)c1ccc(-c2ccc(-c3ccc(*)s3)s2)s1,3.9365,0.75,-99.0,5.4248
*Oc1ccc(-c2ccc(-c3ccc(*)s3)s2)s1,2.4093,1.8638,-99.0,4.7769
*C(=S)Oc1ccc(-c2ccc(*)s2)s1,3.2944,1.9834,-99.0,5.7571
*Oc1ccc(C(=S)c2ccc(*)s2)s1,3.4574,2.3041,-99.0,6.0778
*C(=S)OC(=S)c1ccc(*)s1,4.0075,1.7517,-99.0,6.3892
*Oc1ccc(Oc2ccc(*)s2)s1,1.3443,4.047,-99.0,5.0541
*OC(=S)Oc1ccc(*)s1,2.5249,3.0437,-99.0,6.1007
*c1ccc(-c2ccc(-c3ccc(-c4ccc(*)s4)s3)s2)cc1,2.752,1.1128,-99.0,4.7302
*Oc1ccc(-c2ccc(-c3ccc(*)cc3)s2)s1,1.7103,1.9403,-99.0,5.6406
*c1ccc(-c2ccc(-c3ccc(-c4ccc(*)s4)cc3)s2)cc1,2.3385,2.0606,-99.0,5.1637
*C(=S)c1ccc(-c2ccc(-c3ccc(*)cc3)s2)cc1,3.3503,1.8996,-99.0,5.6674
*Oc1ccc(-c2ccc(-c3ccc(*)cc3)s2)cc1,1.8588,2.1724,-99.0,5.1678
*c1ccc(-c2ccc(C(=S)c3ccc(*)s3)s2)cc1,3.6267,1.0659,-99.0,5.7103
*c1ccc(-c2ccc(Oc3ccc(*)s3)s2)cc1,2.1082,2.1882,-99.0,4.9968
*C(=S)Oc1ccc(-c2ccc(*)cc2)s1,2.8418,2.3094,-99.0,5.9399
*Oc1ccc(-c2ccc(-c3ccc(*)cc3)cc2)s1,1.897,2.397,-99.0,5.1012
*c1ccc(-c2ccc(-c3ccc(-c4ccc(*)s4)cc3)cc2)cc1,2.2963,1.8601,-99.0,5.1853
*C(=S)c1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,3.0264,1.6353,-99.0,5.6338
*Oc1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,1.6576,3.3861,-99.0,5.5837
*OC(=S)c1ccc(-c2ccc(*)cc2)cc1,2.7321,2.8665,-99.0,5.9851
*C(=S)c1ccc(C(=S)c2ccc(*)cc2)s1,4.1807,1.1979,-99.0,6.2119
*Oc1ccc(C(=S)c2ccc(*)cc2)s1,3.2177,2.4038,-99.0,5.8629
*C(=S)c1ccc(C(=S)c2ccc(*)cc2)cc1,2.9311,1.8035,-99.0,5.6051
*Oc1ccc(C(=S)c2ccc(*)cc2)cc1,3.1315,1.7412,-99.0,5.7685
*C(=S)OC(=S)c1ccc(*)cc1,3.7508,2.364,-99.0,6.5598
*Oc1ccc(Oc2ccc(*)cc2)s1,1.2264,4.0372,-99.0,5.9034
*c1ccc(OC(=S)c2ccc(*)s2)cc1,3.1094,2.0472,-99.0,5.9615
*OC(=S)Oc1ccc(*)cc1,1.8722,3.9415,-99.0,6.6287
*Cc1ccc(-c2ccc(-c3ccc(*)s3)s2)s1,2.0787,2.1001,-99.0,5.1385
*Cc1ccc(-c2ccc(C(*)=S)s2)s1,3.2587,1.7203,-99.0,5.7652
*Cc1ccc(-c2ccc(O*)s2)s1,1.7705,2.9968,-99.0,5.2494
*Cc1ccc(-c2ccc(-c3ccc(*)s3)cc2)s1,1.9244,2.512,-99.0,5.2326
*Cc1ccc(-c2ccc(C(*)=S)cc2)s1,2.9754,1.9959,-99.0,5.6896
*Cc1ccc(-c2ccc(O*)cc2)s1,1.4385,2.9246,-99.0,5.4992
*Cc1ccc(Cc2ccc(*)s2)s1,1.174,4.1954,-99.0,5.797
*Cc1ccc(CC(*)=S)s1,2.588,2.5553,-99.0,5.8858
*Cc1ccc(C(=O)c2ccc(*)s2)s1,2.8498,2.7131,-99.0,6.3555
*Cc1ccc(C(=O)C(*)=S)s1,3.3428,2.693,-99.0,6.4325
*Cc1ccc(C(=O)O*)s1,2.358,3.78,-99.0,6.8862
*Cc1ccc(C(=S)c2ccc(*)s2)s1,3.3843,2.2961,-99.0,5.9541
