Polymer,SMILES descriptor 1,SMILES descriptor 2,Comonomer percentage,Anion,Amion SMILES,log Li:functional group,approxMW(kDa),approxTg,chain_architecture,logCond60,Temperature (℃)
polyethylene carbonate,COC(=O)OC,CCO,95.2,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-1.125997263,37,-3,linear,-5.72,60
polyethylene carbonate,COC(=O)OC,CCO,95.2,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-0.70002853,37,-20,linear,-5.19,60
polyethylene carbonate,COC(=O)OC,CCO,95.2,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-0.347846012,37,-33,linear,-4.81,60
polyethylene carbonate,COC(=O)OC,CCO,95.2,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.07812272,37,-62,linear,-4.25,60
polyethylene carbonate,COC(=O)OC,CCO,95.2,N(SO2C2F5)2,C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,-1.255938537,37,-14,linear,-5.56,60
polyethylene carbonate,COC(=O)OC,CCO,95.2,N(SO2C2F5)2,C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,-0.829969805,37,-20,linear,-5.33,60
polyethylene carbonate,COC(=O)OC,CCO,95.2,N(SO2C2F5)2,C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,-0.477787287,37,-33,linear,-5.23,60
polyethylene carbonate,COC(=O)OC,CCO,95.2,N(SO2C2F5)2,C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,-0.051818555,37,-39,linear,-4.88,60
polyethylene carbonate,COC(=O)OC,CCO,95.2,BF4,F[B-](F)(F)F,-0.758139627,37,-23,linear,-6.51,60
polyethylene carbonate,COC(=O)OC,CCO,95.2,BF4,F[B-](F)(F)F,-0.448154789,37,-29,linear,-5.24,60
polyethylene carbonate,COC(=O)OC,CCO,95.2,BF4,F[B-](F)(F)F,-0.269119149,37,-47,linear,-5.08,60
polyethylene carbonate,COC(=O)OC,CCO,95.2,BF4,F[B-](F)(F)F,-0.135672145,37,-69,linear,-4.34,60
polyethylene carbonate,COC(=O)OC,CCO,95.2,ClO4,[O-]Cl(=O)(=O)=O,-0.695056994,37,-8,linear,-5.3,60
polyethylene carbonate,COC(=O)OC,CCO,95.2,ClO4,[O-]Cl(=O)(=O)=O,-0.269088262,37,-28,linear,-5.1,60
polyethylene carbonate,COC(=O)OC,CCO,95.2,ClO4,[O-]Cl(=O)(=O)=O,0.083094256,37,-1,linear,-5.64,60
polyethylene carbonate,COC(=O)OC,CCO,95.2,ClO4,[O-]Cl(=O)(=O)=O,0.509062989,37,2,linear,-6.57,60
polyethylene carbonate,COC(=O)OC,CCO,95.2,CF3SO3,C(F)(F)(F)S(=O)(=O)[O-],-0.861239964,37,-7,linear,-5.8,60
polyethylene carbonate,COC(=O)OC,CCO,95.2,CF3SO3,C(F)(F)(F)S(=O)(=O)[O-],-0.435271232,37,-16,linear,-5.2,60
polyethylene carbonate,COC(=O)OC,CCO,95.2,CF3SO3,C(F)(F)(F)S(=O)(=O)[O-],-0.083088714,37,-7,linear,-6.7,60
"poly(butyl ether 1,2-glycerol carbonate)",COC(=O)OC(COCCCC),COC(=O)OC(COCCCC),100,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-1,20.9,-24,linear,-4.038483989,60
polyethylene carbonate,COC(=O)OC,COC(=O)OC,100,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-0.698970004,50,34,linear,-3.73196055,60
polyethylene carbonate,COC(=O)OC,COC(=O)OC,100,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-0.397940009,50,31,linear,-3.73196055,60
polyethylene carbonate,COC(=O)OC,COC(=O)OC,100,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-0.22184875,50,29,linear,-3.115244274,60
polyethylene carbonate,COC(=O)OC,COC(=O)OC,100,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-0.096910013,50,25,linear,-2.757906016,60
poly(acrylonitrile-co-butylacrylate),CC(C#N),CC(C(=O)OCCCC),67,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.079181246,65,-22,linear,-4.6409,60
poly carbosilane carbonate,C[Si](C)(CCC1COC(=O)O1)CC,C[Si](C)(CCC1COC(=O)O1)CC,100,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-1,17.3,-20,linear,-5.946921557,60
poly carbosilane carbonate,C[Si](C)(CCC1COC(=O)O1)CC,C[Si](C)(CCC1COC(=O)O1)CC,100,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-0.602059991,17.3,-20,linear,-5.37675071,60
poly carbosilane carbonate,C[Si](C)(CCC1COC(=O)O1)CC,C[Si](C)(CCC1COC(=O)O1)CC,100,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-0.301029996,17.3,-20,linear,-4.246416941,60
poly carbosilane carbonate,C[Si](C)(CCC1COC(=O)O1)CC,C[Si](C)(CCC1COC(=O)O1)CC,100,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0,17.3,-20,linear,-4.033389013,60
poly carbosilane carbonate,C[Si](C)(CCC1COC(=O)O1)CC,C[Si](C)(CCC1COC(=O)O1)CC,100,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.301029996,17.3,-20,linear,-3.675717545,60
poly carbosilane carbonate,C[Si](C)(CCC1COC(=O)O1)CC,C[Si](C)(CCC1COC(=O)O1)CC,100,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.602059991,17.3,-15,linear,-3.68613278,60
poly carbosilane carbonate,C[Si](C)(CCC1COC(=O)O1)CC,C[Si](C)(CCC1COC(=O)O1)CC,100,CF3SO3,C(F)(F)(F)S(=O)(=O)[O-],-1,17.3,-15,linear,-6.136082623,60
poly carbosilane carbonate,C[Si](C)(CCC1COC(=O)O1)CC,C[Si](C)(CCC1COC(=O)O1)CC,100,CF3SO3,C(F)(F)(F)S(=O)(=O)[O-],-0.522878745,17.3,-15,linear,-6.136082623,60
poly carbosilane carbonate,C[Si](C)(CCC1COC(=O)O1)CC,C[Si](C)(CCC1COC(=O)O1)CC,100,CF3SO3,C(F)(F)(F)S(=O)(=O)[O-],-0.301029996,17.3,-20,linear,-6.449771647,60
poly carbosilane carbonate,C[Si](C)(CCC1COC(=O)O1)CC,C[Si](C)(CCC1COC(=O)O1)CC,100,CF3SO3,C(F)(F)(F)S(=O)(=O)[O-],-0.15490196,17.3,-15,linear,-6.504455662,60
poly carbosilane carbonate,C[Si](C)(CCC1COC(=O)O1)CC,C[Si](C)(CCC1COC(=O)O1)CC,100,CF3SO3,C(F)(F)(F)S(=O)(=O)[O-],0,17.3,-25,linear,-6.982966661,60
poly carbosilane carbonate,C[Si](C)(CCC1COC(=O)O1)CC,C[Si](C)(CCC1COC(=O)O1)CC,100,CF3SO3,C(F)(F)(F)S(=O)(=O)[O-],0.301029996,17.3,-15,linear,-7.159266765,60
poly carbosilane dicarbonate,C[Si](CCC1COC(=O)O1)(CCC2COC(=O)O2)CC,C[Si](CCC1COC(=O)O1)(CCC2COC(=O)O2)CC,100,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-0.602059991,90.6,-10,linear,-6.54668166,60
poly carbosilane dicarbonate,C[Si](CCC1COC(=O)O1)(CCC2COC(=O)O2)CC,C[Si](CCC1COC(=O)O1)(CCC2COC(=O)O2)CC,100,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-0.301029996,90.6,0,linear,-5.501689446,60
poly carbosilane dicarbonate,C[Si](CCC1COC(=O)O1)(CCC2COC(=O)O2)CC,C[Si](CCC1COC(=O)O1)(CCC2COC(=O)O2)CC,100,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0,90.6,-5,linear,-4.567030709,60
poly carbosilane dicarbonate,C[Si](CCC1COC(=O)O1)(CCC2COC(=O)O2)CC,C[Si](CCC1COC(=O)O1)(CCC2COC(=O)O2)CC,100,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.301029996,90.6,-20,linear,-3.617982957,60
poly carbosilane dicarbonate,C[Si](CCC1COC(=O)O1)(CCC2COC(=O)O2)CC,C[Si](CCC1COC(=O)O1)(CCC2COC(=O)O2)CC,100,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.602059991,90.6,-25,linear,-3.269217724,60
poly carbosilane dicarbonate,C[Si](CCC1COC(=O)O1)(CCC2COC(=O)O2)CC,C[Si](CCC1COC(=O)O1)(CCC2COC(=O)O2)CC,100,CF3SO3,C(F)(F)(F)S(=O)(=O)[O-],-1,90.6,-10,linear,-6.302770657,60
poly carbosilane dicarbonate,C[Si](CCC1COC(=O)O1)(CCC2COC(=O)O2)CC,C[Si](CCC1COC(=O)O1)(CCC2COC(=O)O2)CC,100,CF3SO3,C(F)(F)(F)S(=O)(=O)[O-],-0.522878745,90.6,0,linear,-5.100179498,60
poly carbosilane dicarbonate,C[Si](CCC1COC(=O)O1)(CCC2COC(=O)O2)CC,C[Si](CCC1COC(=O)O1)(CCC2COC(=O)O2)CC,100,CF3SO3,C(F)(F)(F)S(=O)(=O)[O-],-0.397940009,90.6,-5,linear,-4.954677021,60
poly carbosilane dicarbonate,C[Si](CCC1COC(=O)O1)(CCC2COC(=O)O2)CC,C[Si](CCC1COC(=O)O1)(CCC2COC(=O)O2)CC,100,CF3SO3,C(F)(F)(F)S(=O)(=O)[O-],-0.15490196,90.6,-5,linear,-4.924453039,60
poly carbosilane dicarbonate,C[Si](CCC1COC(=O)O1)(CCC2COC(=O)O2)CC,C[Si](CCC1COC(=O)O1)(CCC2COC(=O)O2)CC,100,CF3SO3,C(F)(F)(F)S(=O)(=O)[O-],0,90.6,-5,linear,-5.804100348,60
poly carbosilane dicarbonate,C[Si](CCC1COC(=O)O1)(CCC2COC(=O)O2)CC,C[Si](CCC1COC(=O)O1)(CCC2COC(=O)O2)CC,100,CF3SO3,C(F)(F)(F)S(=O)(=O)[O-],0.301029996,90.6,-5,linear,-6.013676223,60
poly(e-caprolactone)-co-(trimethylene carbonate),COC(=O)CCCC,COC(=O)OCC,80,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-1.004057721,257,-50,linear,-3.982966661,60
poly(e-caprolactone)-co-(trimethylene carbonate),COC(=O)CCCC,COC(=O)OCC,80,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-0.812172194,257,-40,linear,-3.55129368,60
poly(e-caprolactone)-co-(trimethylene carbonate),COC(=O)CCCC,COC(=O)OCC,80,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-0.651875203,257,-36,linear,-3.488116639,60
poly(e-caprolactone)-co-(trimethylene carbonate),COC(=O)CCCC,COC(=O)OCC,80,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-0.50673308,257,-38,linear,-4.022276395,60
poly(ethylene malonate),COC(=O)CC(=O)OC,COC(=O)CC(=O)OC,100,CF3SO3,C(F)(F)(F)S(=O)(=O)[O-],-1.477121255,2.26,-13.25,linear,-4.799718968,60
poly(ethylene malonate),COC(=O)CC(=O)OC,COC(=O)CC(=O)OC,100,CF3SO3,C(F)(F)(F)S(=O)(=O)[O-],-1.204119983,2.26,-8.59,linear,-4.63172428,60
poly(ethylene malonate),COC(=O)CC(=O)OC,COC(=O)CC(=O)OC,100,CF3SO3,C(F)(F)(F)S(=O)(=O)[O-],-0.903089987,2.26,-5.889,linear,-4.788887845,60
poly(ethylene malonate),COC(=O)CC(=O)OC,COC(=O)CC(=O)OC,100,CF3SO3,C(F)(F)(F)S(=O)(=O)[O-],-0.602059991,2.26,-3.531,linear,-4.976589913,60
poly(ethylene malonate),COC(=O)CC(=O)OC,COC(=O)CC(=O)OC,100,CF3SO3,C(F)(F)(F)S(=O)(=O)[O-],-0.301029996,2.26,16.11,linear,-5.572467833,60
Poly(ethylene adipate),COC(=O)CCCCC(=O)OC,COC(=O)CCCCC(=O)OC,100,ClO4,[O-]Cl(=O)(=O)=O,-2.080748532,10,-41,linear,-5.047609011,60
Poly(ethylene adipate),COC(=O)CCCCC(=O)OC,COC(=O)CCCCC(=O)OC,100,ClO4,[O-]Cl(=O)(=O)=O,-1.594763817,10,-38,linear,-4.117827621,60
Poly(ethylene adipate),COC(=O)CCCCC(=O)OC,COC(=O)CCCCC(=O)OC,100,ClO4,[O-]Cl(=O)(=O)=O,-1.363866938,10,-33,linear,-3.705147886,60
Poly(ethylene adipate),COC(=O)CCCCC(=O)OC,COC(=O)CCCCC(=O)OC,100,ClO4,[O-]Cl(=O)(=O)=O,-1.039355847,10,-28,linear,-3.560201203,60
